HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
40035,      22.6447,F7V,      1.64497,1,      0.00000,     0.545904,     0.352866,    0.0867170,    0.0587871,    0.0375136,      0.00000,    0.0855226,     0.138062,    0.0459581,    0.0796999,     0.192390,     0.146329,    0.0200892,    0.0691058,    0.0822409,    0.0301027,    0.0946768,     0.121843
77257,      11.8186,G0Vvar,     0.932831,3,      1.74171,     0.151113,    0.0207863,    0.0239816,    0.0286663,    0.0217161,   0.00195235,    0.0151500,    0.0151278,    0.0221901,    0.0141826,    0.0104684,    0.0296040,   0.00433752,   0.00316370,    0.0165795,   0.00513648,   0.00317567,    0.0199484
85295,      7.71467,K7V,      2.67974,3,     0.185251,     0.185738,    0.0204947,    0.0294722,   0.00138685,    0.0320313,   0.00728898,   0.00278593,    0.0200603,    0.0292597,   0.00334289,    0.0111987,    0.0398843,   0.00209046,   0.00270099,    0.0206494,   0.00575792,   0.00196555,    0.0184772
42808,      11.1860,K2V,      2.48635,3,     0.548285,     0.190574,    0.0315828,    0.0301501,   0.00360361,    0.0334677,   0.00811619,   0.00383948,    0.0154979,    0.0515661,   0.00547428,   0.00427023,    0.0582631,   0.00322270,   0.00121967,    0.0324427,   0.00607662,  0.000878154,    0.0291648
45038,      20.6074,F7IV-V,     0.834611,1,      0.00000,     0.306379,     0.832163,    0.0481716,    0.0110028,   0.00897904,  2.00958e-05,    0.0412105,     0.104055,    0.0434269,    0.0386420,     0.176252,     0.212252,    0.0101333,    0.0638747,     0.120741,    0.0206039,    0.0890255,     0.174374
111802,      8.89942,M0Vpe,      1.85114,1,      0.00000,     0.281303,     0.456416,    0.0441893,  0.000283004,    0.0185222,      0.00000,   0.00889410,     0.115157,    0.0956750,   0.00798717,     0.154584,     0.338077,   0.00295184,    0.0556081,     0.200128,    0.0193977,    0.0838795,     0.255003
14879,      13.9505,F8V,      2.02100,1,      0.00000,     0.238372,    0.0566656,    0.0373298,    0.0904275,    0.0132807,  2.00958e-05,     0.135754,     0.100584,    0.0145759,     0.145284,     0.183526,    0.0542660,    0.0339163,    0.0711648,    0.0329691,    0.0429048,    0.0982728,    0.0579907
46509,      17.7639,F6V,      12.1900,2,      1.50693,     0.310232,     0.318208,    0.0482984,    0.0111717,    0.0138394,      0.00000,    0.0257683,    0.0551109,    0.0239256,    0.0220836,    0.0326389,    0.0702940,   0.00636195,   0.00896164,    0.0357724,   0.00997757,   0.00937116,    0.0446749
95501,      15.5255,F0IV,      10.2654,1,      0.00000,     0.127952,    0.0331220,    0.0198845,    0.0468715,  0.000575298,  2.00958e-05,     0.141991,    0.0561330,   0.00611394,     0.166271,     0.138601,    0.0308412,    0.0377304,    0.0586867,    0.0179930,    0.0451390,    0.0836329,    0.0323555
37606,      22.4734,G5IV,     0.841337,2,      1.70028,     0.247187,    0.0937812,    0.0383898,   0.00547415,   0.00747241,      0.00000,    0.0168500,    0.0499984,    0.0239060,   0.00877966,    0.0369713,    0.0797144,   0.00287159,    0.0106831,    0.0383928,   0.00745605,    0.0120507,    0.0442849
113020,      4.67581,M5,      2.54274,2,    0.0207199,     0.366924,     0.153598,    0.0569799,  0.000108418,    0.0379377,   0.00674736,   0.00217175,    0.0531315,    0.0254078,   0.00355614,    0.0558705,    0.0397620,   0.00426640,    0.0177036,    0.0196526,   0.00819485,    0.0177423,    0.0191049
15371,      12.0464,G1V,     0.622423,3,     0.675099,     0.171718,    0.0216892,    0.0265247,   0.00677961,    0.0325824,   0.00420173,    0.0105058,    0.0168095,    0.0192531,   0.00564927,    0.0145998,    0.0286519,   0.00181426,   0.00441543,    0.0160898,   0.00456005,   0.00354163,    0.0135588
3909,      15.8800,F7IV-V,      10.8118,2,      1.06966,     0.379887,     0.298793,    0.0585453,    0.0359519,    0.0318784,  3.51676e-05,    0.0300157,    0.0535100,    0.0258750,    0.0317173,    0.0232123,    0.0583323,   0.00876807,   0.00529782,    0.0299566,   0.00996896,   0.00519560,    0.0421862
95501,      15.5255,F0IV,      10.2654,2,      1.94858,     0.128420,    0.0330884,    0.0197727,    0.0288298,  0.000597986,      0.00000,    0.0500653,    0.0394262,   0.00521311,    0.0368282,    0.0396416,    0.0264140,   0.00808683,    0.0117753,    0.0148795,   0.00867138,    0.0137930,    0.0270011
