HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      15457.0,      49.8404,      3.37020,      5.71000,      5.52100,      4.84000,      4.27000,      4.11000,      3.66000,      3.35000,      3.34000,      5.03391,      9.14571,G5Vvar,     0.871993,     0.961563,     0.961621,      263.600,      3.94000,           2,           1,      102.103,     0.532629,      1.66898,     0.122362,     0.246109,     0.992045
      15510.0,      49.9819,     -43.0698,      5.20000,      4.97100,      4.26000,      3.65000,      3.47000,      2.99000,      2.60000,      2.53000,      5.36787,      6.00381,G8V,     0.657534,      1.30302,     0.887108,          NaN,          NaN,           3,           4,      135.062,      139.145,      2.36159,     0.604885,     0.237792,     0.958521
      16537.0,      53.2327,     -9.45826,      5.19000,      4.60100,      3.72000,      3.00000,      2.78000,      2.23000,      1.75000,      1.67000,      6.19230,      3.20288,K2V,     0.346181,      2.09536,     0.738537,      0.00000,          NaN,           3,           4,      183.701,      297.000,      1.55736,     0.129800,     0.246904,     0.995250
      16852.0,      54.2183,     0.401662,      5.23000,      4.86500,      4.29000,      4.09000,      3.63000,      3.26000,      3.01000,      2.91000,      3.56517,      13.9626,F9V,      3.24229,      1.09201,      1.39945,          NaN,          NaN,           2,           1,      128.961,     0.361049,      1.96005,     0.266847,     0.197726,     0.797019
      17378.0,      55.8121,     -9.76340,      5.13000,      4.43500,      3.52000,      2.82000,      2.58000,      1.98000,      1.52000,      1.43000,      3.73124,      9.07301,K0IV,      3.41736,      2.41540,      1.42064,          NaN,          NaN,           3,           1,      203.748,      4.07724,      1.47098,     0.117271,     0.188301,     0.759026
      17420.0,      55.9806,     -19.1109,      8.71100,      8.02700,      7.10000,      6.55500,      6.13000,      5.45700,      5.02500,      4.83700,      6.37635,      13.9550,K2V,     0.302539,     0.472991,     0.710644,          NaN,          NaN,           1,           1,      39.4149,     0.178539,      1.51328,      1.77812,     0.182339,     0.734995
      17651.0,      56.7120,     -23.2497,          NaN,      4.65400,      4.22000,          NaN,      3.71000,      3.61000,      3.39300,      3.35300,      2.98778,      17.6378,F3/F5V,      5.28689,     0.953106,      1.60927,          NaN,          NaN,           2,           1,      130.363,     0.964476,      1.90101,     0.399699,     0.136706,     0.551052
      18859.0,      60.6531,    -0.268923,          NaN,      5.89600,      5.38000,          NaN,      4.80000,      4.71200,      4.34200,      4.18100,      4.01254,      18.7712,F5V,      2.09943,     0.616695,      1.23603,          NaN,          NaN,           1,           1,      77.1896,      1.25568,      3.47210,      1.54843,     0.205181,     0.827068
      19335.0,      62.1526,      38.0397,      7.78000,      6.04000,      5.52000,      5.20000,      4.93000,      4.79400,      4.51200,      4.28400,      3.87657,      21.3150,F7V,      2.38381,     0.580931,      1.28172,      745.900,      1.75000,           1,           1,      72.4353,     0.216471,      3.33850,      1.43407,     0.186867,     0.753246
      19849.0,      63.8180,     -7.65287,      5.69000,      5.25000,      4.43000,      3.74000,      3.54000,      2.93000,      2.48000,      2.41000,      5.91952,      5.03612,K1V,     0.420357,      1.38730,     0.780661,      83.7000,      5.19000,           3,           4,      128.740,      273.686,      2.70161,     0.537038,     0.237543,     0.957518
      19884.0,      63.9871,     -53.3098,      9.84300,      8.75500,      7.64000,      6.96700,      6.41000,      5.62400,      5.09800,      4.92300,      7.06071,      13.0574,K5V,     0.207542,     0.506754,     0.638098,          NaN,          NaN,           1,           1,      34.8896,      2.33436,      1.68490,      1.34003,    0.0939668,     0.378773
      21770.0,      70.1405,     -41.8638,      4.79000,      4.78200,      4.44000,      4.11000,      4.04000,      3.86000,      3.65000,      3.67000,      2.89565,      20.3644,F2V,      5.60044,     0.764708,      1.63598,      7.50000,      8.05000,           1,           1,      116.209,      1.16621,      2.12764,     0.663924,     0.123281,     0.496937
