HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      95447.0,      5.17000,      14.9593,G8IVvar,      90.1780,      2.39856,           3,           1,      1.83641,     0.486626,     0.233806,     0.942453
      95501.0,      3.36000,      15.5255,F0IV,      191.093,      10.2654,           3,           2,     0.845111,     0.124761,    0.0663779,     0.267564
      96100.0,      4.67000,      5.77232,K0V,      114.808,     0.830024,           3,           1,     0.629404,    0.0366173,     0.242418,     0.977170
      96258.0,      5.71000,      25.3469,F7V,      65.8276,     0.616570,           2,           1,      3.14974,      1.14439,     0.186061,     0.749996
      96441.0,      4.49000,      18.4393,F4V,      114.722,      6.71405,           3,           1,      1.66176,      1.42142,     0.150796,     0.607846
      96895.0,      5.99000,      21.1519,G2V,      59.5736,      7.85924,           2,           1,      3.20824,      2.06698,     0.157026,     0.632960
      96901.0,      6.25000,      21.1527,G5V,      53.0883,      4.20789,           2,           1,      1.84447,      1.09235,     0.152506,     0.614741
      97295.0,      5.00000,      20.8998,F5,      91.2997,      10.6991,           2,           1,      3.65851,      1.66580,     0.164191,     0.661839
      97650.0,      5.38000,      27.4312,F0V,      76.2588,     0.983066,           2,           1,      3.20795,      1.43034,     0.151929,     0.612415
      97944.0,      6.22000,      14.1069,K3/K4V,      62.4515,      1.60288,           2,           1,      1.79753,     0.312592,     0.226543,     0.913178
      98036.0,      3.71000,      13.3755,G8IVvar,      183.041,      1.40584,           3,           3,     0.696827,    0.0399756,     0.106021,     0.427363
      98767.0,      5.73000,      16.0143,G6IV+...,      69.3085,      7.04402,           2,           1,      2.83706,     0.896176,     0.223311,     0.900149
      98921.0,      6.18000,      19.0165,G5IV,      54.6587,      4.65843,           2,           1,      2.11905,     0.996792,     0.186945,     0.753562
      98959.0,      6.07000,      17.9148,G2V,      57.4155,      10.9236,           2,           1,      2.91122,      1.48220,     0.191287,     0.771064
      99031.0,      5.38000,      23.9396,K0IV,      84.6458,      2.03743,           3,           1,      2.42113,     0.545237,     0.135846,     0.547586
      99240.0,      3.55000,      6.09561,G5IV-Vvar,      189.294,      2.17188,           3,           3,     0.579908,    0.0267576,     0.207663,     0.837073
      99461.0,      5.32000,      6.01586,K2V,      87.6212,      264.849,           2,           1,      1.86724,     0.319557,     0.235221,     0.948156
      99701.0,      7.97000,      6.16062,M0V,      41.4000,      7.59207,           1,           1,      1.56027,     0.216692,     0.214227,     0.863533
      99825.0,      5.73000,      8.79909,K3V,      72.7469,      4.80992,           2,           1,      1.16577,     0.102906,     0.246243,     0.992585
      100017.,      5.91000,      17.4653,G3V,      61.4769,      2.05908,           2,           1,      2.23070,     0.730757,     0.226525,     0.913105
      100511.,      6.16000,      25.9846,F8V,      53.7031,      2.78461,           2,           1,      3.49124,      2.14974,     0.151805,     0.611916
      100925.,      6.61000,      19.3089,G6/G8V,      45.9747,      2.09224,           2,           1,      2.27593,      1.33968,     0.168866,     0.680687
      101997.,      6.36000,      14.6768,G8/K0V,      51.5175,      4.59673,           2,           1,      1.90850,     0.784043,     0.227637,     0.917585
      102040.,      6.43000,      20.8986,G5V,      48.4913,     0.210873,           2,           1,      2.35483,      1.26241,     0.201936,     0.813988
      102333.,      4.51000,      23.7748,A6:var,      112.137,      2.41264,           3,           1,      1.12425,     0.429875,    0.0832283,     0.335487
      102422.,      3.41000,      14.3547,K0IV,      214.036,      4.96680,           3,           3,     0.708395,    0.0233943,    0.0503044,     0.202773
      102485.,      4.13000,      14.2448,F5V,      135.925,     0.148761,           3,           2,     0.739637,     0.171259,     0.183186,     0.738410
      103096.,      8.55000,      7.04056,M2V,      35.1605,      4.33093,           1,           1,      1.97530,     0.285727,     0.127751,     0.514954
      104214.,      5.20000,      3.49717,K5V,      103.044,      10.2321,           3,           1,     0.598978,    0.0214213,     0.248066,     0.999935
      104217.,      6.05000,      3.49472,K7V,      85.3326,      4.53856,           2,           1,     0.747570,    0.0200624,     0.247365,     0.997110
      105090.,      6.69000,      3.97094,M1/M2V,      70.0674,      10.7658,           2,           1,     0.711406,    0.0238570,     0.247970,     0.999547
      105858.,      4.21000,      9.27192,F6V,      131.733,      143.554,           3,           2,      2.84070,      1.26548,     0.223720,     0.901798
      106440.,      8.66000,      4.96506,M1V,      38.0112,      2.88992,           1,           1,      1.27727,     0.239523,     0.189829,     0.765185
      107350.,      5.96000,      18.1281,G0V,      59.8365,      7.38635,           2,           1,      3.00051,      1.27640,     0.206036,     0.830516
      107556.,      2.85000,      13.6284,A5mF2(IV),      241.769,     0.897394,           3,           3,     0.496721,    0.0139974,    0.0374769,     0.151067
      107649.,      5.57000,      15.5608,G2V,      71.8744,      4.66127,           2,           1,      2.28621,     0.817947,     0.229907,     0.926736
      107975.,      5.52000,      27.1276,F6IVwvar,      71.6637,      1.03356,           2,           1,      3.38726,      1.43056,     0.165593,     0.667494
      108036.,      5.08000,      27.0607,F3IV,      86.9896,     0.417180,           3,           1,      1.39448,     0.524136,    0.0982499,     0.396038
      108870.,      4.69000,      3.63895,K5V,      129.330,      41.2435,           3,           2,     0.632977,    0.0287172,     0.248014,     0.999726
      109176.,      3.77000,      11.7975,F5V,      160.370,     0.963083,           3,           2,     0.663862,     0.117174,     0.187584,     0.756137
      109422.,      4.94000,      18.3527,F6V,      94.0451,      10.7347,           3,           1,      2.44214,      1.25818,     0.178466,     0.719384
      109821.,      6.23000,      22.3764,G5V,      53.3370,     0.758687,           2,           1,      2.50734,      1.11706,     0.191628,     0.772436
      110649.,      5.31000,      20.4540,F9V,      81.9706,      1.90272,           2,           1,      2.90746,     0.746540,     0.195257,     0.787067
      111449.,      5.21000,      22.9455,F7V,      82.6349,     0.967507,           2,           1,      2.79271,      1.12452,     0.182110,     0.734071
      111802.,      9.06000,      8.89942,M0Vpe,      26.8185,      1.85114,           1,           4,      1.63424,      1.55952,     0.128339,     0.517326
      112447.,      4.20000,      16.0258,F7V,      132.506,      10.5719,           3,           2,      1.35377,     0.419129,     0.150999,     0.608667
      113020.,      10.1600,      4.67581,M5,      23.8499,      2.54274,           1,           4,      1.89815,     0.564816,     0.217116,     0.875177
      113283.,      6.48000,      7.60815,K4Vp,      58.0032,      2.16107,           2,           1,      1.10668,    0.0513762,     0.247412,     0.997299
